"cd_assunto_trf";"ds_assunto_completo"
"10000";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / ATOS ADMINISTRATIVOS / LICENÇAS / DECLARAÇÃO DE TRÂNSITO ADUANEIRO"
"10001";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / ATOS ADMINISTRATIVOS / LICENÇAS / COMERCIALIZAÇÃO SEM RESTRIÇÕES DE PRODUTOS INDUSTRIALIZADOS"
"10002";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / ATOS ADMINISTRATIVOS / LICENÇAS / COMERCIALIZAÇÃO SEM RESTRIÇÕES DE GÊNEROS ALIMENTÍCIOS"
"10003";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / ATOS ADMINISTRATIVOS / LICENÇAS / COMERCIALIZAÇÃO E/OU UTILIZAÇÃO SEM RESTRIÇÕES DE MEDICAMENTOS"
"10004";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / ATOS ADMINISTRATIVOS / LICENÇAS / FUNCIONAMENTO DE COMÉRCIO DE DERIVADOS DE PETRÓLEO"
"10005";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / ATOS ADMINISTRATIVOS / LICENÇAS / REGISTRO DE EMPRESA"
"10006";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Atos Administrativos (9997) / Licenças (9998) / Funcionamento de Estabelecimentos Empresariais"
"10007";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / ATOS ADMINISTRATIVOS / LICENÇAS / REGISTRO / PORTE DE ARMA DE FOGO"
"10008";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / ATOS ADMINISTRATIVOS / LICENÇAS / REGISTRO DE AERONAVE"
"10009";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Atos Administrativos (9997) / Inquérito / Processo / Recurso Administrativo"
"10010";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / ATOS ADMINISTRATIVOS / ATO LESIVO AO PATRIMÔNIO ARTÍSTICO, ESTÉTICO, HISTÓRICO OU TURÍSTICO"
"10011";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Atos Administrativos (9997) / Improbidade Administrativa"
"10012";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Atos Administrativos (9997) / Improbidade Administrativa (10011) / Dano ao Erário"
"10013";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Atos Administrativos (9997) / Improbidade Administrativa (10011) / Enriquecimento Ilícito"
"10014";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Atos Administrativos (9997) / Improbidade Administrativa (10011) / Violação aos Princípios Administrativos"
"10015";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Atos Administrativos (9997) / Fiscalização"
"10016";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / ATOS ADMINISTRATIVOS / FISCALIZAÇÃO / INSPEÇÃO FITOSSANITÁRIA"
"10017";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / ATOS ADMINISTRATIVOS / FISCALIZAÇÃO / EXPORTAÇÃO/VEDAÇÕES"
"10018";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / ATOS ADMINISTRATIVOS / FISCALIZAÇÃO / INSPEÇÃO SANITÁRIA DE ORIGEM ANIMAL"
"10019";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Atos Administrativos (9997) / Fiscalização (10015) / Segurança e Medicina do Trabalho"
"10020";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Atos Administrativos (9997) / Registro de Trabalho Portuário / Órgão Gestor de Mão de Obra"
"10021";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / ATOS ADMINISTRATIVOS / REGISTRO DE MARCAS, PATENTES OU INVENÇÕES"
"10022";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Atos Administrativos (9997) / Infração Administrativa"
"10023";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Atos Administrativos (9997) / Infração Administrativa (10022) / Multas e Demais Sanções"
"10024";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Atos Administrativos (9997) / Infração Administrativa (10022) / Interdição"
"10025";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Atos Administrativos (9997) / Infração Administrativa (10022) / Apreensão"
"10026";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / ATOS ADMINISTRATIVOS / REGISTRO DE DIREITO AUTORAL"
"10027";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / ATOS ADMINISTRATIVOS / REGISTRO DE PROGRAMA DE COMPUTADOR"
"10028";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS"
"10029";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR"
"10030";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / MATRÍCULA"
"10031";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / FINANCIAMENTO PÚBLICO DA EDUCAÇÃO E/OU PESQUISA"
"10032";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / COLAÇÃO DE GRAU"
"10033";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / EXIGÊNCIA DE ESTÁGIO PROFISSIONALIZANTE"
"10034";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / TRANSFERÊNCIA DE ESTUDANTE"
"10035";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / FREQÜÊNCIA ÀS AULAS"
"10036";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / PENALIDADES DISCIPLINARES"
"10037";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / COLISÃO DE HORÁRIO"
"10038";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / VESTIBULAR"
