,id_execucao,data,nome,feature_type,tempo_processamento,tamanho_conjunto_treinamento,accuracy,micro_precision,micro_recall,micro_fscore,macro_precision,macro_recall,macro_fscore,best_params_,best_estimator_,grid_scores_,confusion_matrix,num_estimators,max_samples
0,3ec8b27,21/09/2019 10:18:04,Multinomial Naive Bayes,TF-IDF,0:00:24.540607,56695,0.25239721799250997,0.3189149175902377,0.25239721799250997,0.2323235823532206,0.2886202445275607,0.2609010686161048,0.23089012614819882,,"OneVsRestClassifier(estimator=BalancedBaggingClassifier(base_estimator=MultinomialNB(alpha=1.0,
                                                                                     class_prior=None,
                                                                                     fit_prior=True),
                                                        bootstrap=True,
                                                        bootstrap_features=False,
                                                        max_features=1.0,
                                                        max_samples=34017,
                                                        n_estimators=3,
                                                        n_jobs=-1,
                                                        oob_score=False,
                                                        random_state=None,
                                                        ratio=None,
                                                        replacement=False,
                                                        sampling_strategy='auto',
                                                        verbose=0,
                                                        warm_start=False),
                    n_jobs=None)",,"[[[22553  1485]
  [  109   152]]

 [[23566   229]
  [  382   122]]

 [[23273   554]
  [  322   150]]

 [[23803   142]
  [  339    15]]

 [[22365   273]
  [ 1516   145]]

 [[23705   175]
  [  364    55]]

 [[23244   388]
  [  597    70]]

 [[23920    74]
  [  274    31]]

 [[23208   102]
  [  956    33]]

 [[22930   804]
  [  209   356]]

 [[23641   255]
  [  228   175]]

 [[22606   160]
  [ 1428   105]]

 [[19306  3915]
  [  575   503]]

 [[23044   847]
  [  272   136]]

 [[23205   194]
  [  856    44]]

 [[23366   392]
  [  376   165]]

 [[23886   156]
  [  163    94]]

 [[22848   494]
  [  721   236]]

 [[22515   208]
  [ 1366   210]]

 [[23386   308]
  [  514    91]]

 [[23649   204]
  [  266   180]]

 [[24010    43]
  [  222    24]]

 [[22144   427]
  [ 1578   150]]

 [[22973   703]
  [  322   301]]

 [[23611    32]
  [  633    23]]

 [[22018   676]
  [ 1038   567]]

 [[23054   194]
  [  734   317]]

 [[24079    65]
  [  134    21]]

 [[21195  2072]
  [  312   720]]

 [[23490   279]
  [  390   140]]

 [[22929   720]
  [  256   394]]

 [[24015   119]
  [  143    22]]

 [[21942  1465]
  [  507   385]]

 [[24222    12]
  [   64     1]]]",3,34017
1,3ec8b27,21/09/2019 10:18:04,Random Forest,TF-IDF,0:00:54.451163,56695,0.25585415037655873,0.3274807758156868,0.25585415037655873,0.25521254559585604,0.29429588870031637,0.2766660687639753,0.24935027861665293,,"OneVsRestClassifier(estimator=BalancedBaggingClassifier(base_estimator=RandomForestClassifier(bootstrap=True,
                                                                                              class_weight=None,
                                                                                              criterion='gini',
                                                                                              max_depth=10,
                                                                                              max_features='auto',
                                                                                              max_leaf_nodes=None,
                                                                                              min_impurity_decrease=0.0,
                                                                                              min_impurity_split=None,
                                                                                              min_samples_leaf=1,
                                                                                              min_samples_split=2,
                                                                                              min_weight_fraction_leaf=0.0,
                                                                                              n_estimators=100,
                                                                                              n_jobs=None,
                                                                                              oob_score=False,
                                                                                              random_state=0,
                                                                                              verbose=0,
                                                                                              warm_start=False),
                                                        bootstrap=True,
                                                        bootstrap_features=False,
                                                        max_features=1.0,
                                                        max_samples=34017,
                                                        n_estimators=3,
                                                        n_jobs=-1,
                                                        oob_score=False,
                                                        random_state=None,
                                                        ratio=None,
                                                        replacement=False,
                                                        sampling_strategy='auto',
                                                        verbose=0,
                                                        warm_start=False),
                    n_jobs=None)",,"[[[21033  3005]
  [   80   181]]

 [[23316   479]
  [  354   150]]

 [[23144   683]
  [  288   184]]

 [[22748  1197]
  [  277    77]]

 [[22295   343]
  [ 1518   143]]

 [[23541   339]
  [  350    69]]

 [[23270   362]
  [  588    79]]

 [[23908    86]
  [  257    48]]

 [[23197   113]
  [  923    66]]

 [[23363   371]
  [  239   326]]

 [[23533   363]
  [  219   184]]

 [[22070   696]
  [ 1250   283]]

 [[22353   868]
  [  866   212]]

 [[23260   631]
  [  304   104]]

 [[22585   814]
  [  742   158]]

 [[23675    83]
  [  440   101]]

 [[23838   204]
  [  174    83]]

 [[23011   331]
  [  694   263]]

 [[22434   289]
  [ 1308   268]]

 [[23627    67]
  [  549    56]]

 [[23765    88]
  [  301   145]]

 [[23873   180]
  [  179    67]]

 [[22179   392]
  [ 1554   174]]

 [[22770   906]
  [  305   318]]

 [[23497   146]
  [  621    35]]

 [[22071   623]
  [ 1030   575]]

 [[22946   302]
  [  681   370]]

 [[23921   223]
  [  129    26]]

 [[21915  1352]
  [  441   591]]

 [[23445   324]
  [  401   129]]

 [[23069   580]
  [  311   339]]

 [[23998   136]
  [  131    34]]

 [[22034  1373]
  [  528   364]]

 [[24101   133]
  [   50    15]]]",3,34017
0,3ec8b27,21/09/2019 10:18:04,Multinomial Naive Bayes,TF-IDF,0:00:24.540607,56695,0.25239721799250997,0.3189149175902377,0.25239721799250997,0.2323235823532206,0.2886202445275607,0.2609010686161048,0.23089012614819882,,"OneVsRestClassifier(estimator=BalancedBaggingClassifier(base_estimator=MultinomialNB(alpha=1.0,
                                                                                     class_prior=None,
                                                                                     fit_prior=True),
                                                        bootstrap=True,
                                                        bootstrap_features=False,
                                                        max_features=1.0,
                                                        max_samples=34017,
                                                        n_estimators=3,
                                                        n_jobs=-1,
                                                        oob_score=False,
                                                        random_state=None,
                                                        ratio=None,
                                                        replacement=False,
                                                        sampling_strategy='auto',
                                                        verbose=0,
                                                        warm_start=False),
                    n_jobs=None)",,"[[[22553  1485]
  [  109   152]]

 [[23566   229]
  [  382   122]]

 [[23273   554]
  [  322   150]]

 [[23803   142]
  [  339    15]]

 [[22365   273]
  [ 1516   145]]

 [[23705   175]
  [  364    55]]

 [[23244   388]
  [  597    70]]

 [[23920    74]
  [  274    31]]

 [[23208   102]
  [  956    33]]

 [[22930   804]
  [  209   356]]

 [[23641   255]
  [  228   175]]

 [[22606   160]
  [ 1428   105]]

 [[19306  3915]
  [  575   503]]

 [[23044   847]
  [  272   136]]

 [[23205   194]
  [  856    44]]

 [[23366   392]
  [  376   165]]

 [[23886   156]
  [  163    94]]

 [[22848   494]
  [  721   236]]

 [[22515   208]
  [ 1366   210]]

 [[23386   308]
  [  514    91]]

 [[23649   204]
  [  266   180]]

 [[24010    43]
  [  222    24]]

 [[22144   427]
  [ 1578   150]]

 [[22973   703]
  [  322   301]]

 [[23611    32]
  [  633    23]]

 [[22018   676]
  [ 1038   567]]

 [[23054   194]
  [  734   317]]

 [[24079    65]
  [  134    21]]

 [[21195  2072]
  [  312   720]]

 [[23490   279]
  [  390   140]]

 [[22929   720]
  [  256   394]]

 [[24015   119]
  [  143    22]]

 [[21942  1465]
  [  507   385]]

 [[24222    12]
  [   64     1]]]",3,34017
1,3ec8b27,21/09/2019 10:18:04,Random Forest,TF-IDF,0:00:54.451163,56695,0.25585415037655873,0.3274807758156868,0.25585415037655873,0.25521254559585604,0.29429588870031637,0.2766660687639753,0.24935027861665293,,"OneVsRestClassifier(estimator=BalancedBaggingClassifier(base_estimator=RandomForestClassifier(bootstrap=True,
                                                                                              class_weight=None,
                                                                                              criterion='gini',
                                                                                              max_depth=10,
                                                                                              max_features='auto',
                                                                                              max_leaf_nodes=None,
                                                                                              min_impurity_decrease=0.0,
                                                                                              min_impurity_split=None,
                                                                                              min_samples_leaf=1,
                                                                                              min_samples_split=2,
                                                                                              min_weight_fraction_leaf=0.0,
                                                                                              n_estimators=100,
                                                                                              n_jobs=None,
                                                                                              oob_score=False,
                                                                                              random_state=0,
                                                                                              verbose=0,
                                                                                              warm_start=False),
                                                        bootstrap=True,
                                                        bootstrap_features=False,
                                                        max_features=1.0,
                                                        max_samples=34017,
                                                        n_estimators=3,
                                                        n_jobs=-1,
                                                        oob_score=False,
                                                        random_state=None,
                                                        ratio=None,
                                                        replacement=False,
                                                        sampling_strategy='auto',
                                                        verbose=0,
                                                        warm_start=False),
                    n_jobs=None)",,"[[[21033  3005]
  [   80   181]]

 [[23316   479]
  [  354   150]]

 [[23144   683]
  [  288   184]]

 [[22748  1197]
  [  277    77]]

 [[22295   343]
  [ 1518   143]]

 [[23541   339]
  [  350    69]]

 [[23270   362]
  [  588    79]]

 [[23908    86]
  [  257    48]]

 [[23197   113]
  [  923    66]]

 [[23363   371]
  [  239   326]]

 [[23533   363]
  [  219   184]]

 [[22070   696]
  [ 1250   283]]

 [[22353   868]
  [  866   212]]

 [[23260   631]
  [  304   104]]

 [[22585   814]
  [  742   158]]

 [[23675    83]
  [  440   101]]

 [[23838   204]
  [  174    83]]

 [[23011   331]
  [  694   263]]

 [[22434   289]
  [ 1308   268]]

 [[23627    67]
  [  549    56]]

 [[23765    88]
  [  301   145]]

 [[23873   180]
  [  179    67]]

 [[22179   392]
  [ 1554   174]]

 [[22770   906]
  [  305   318]]

 [[23497   146]
  [  621    35]]

 [[22071   623]
  [ 1030   575]]

 [[22946   302]
  [  681   370]]

 [[23921   223]
  [  129    26]]

 [[21915  1352]
  [  441   591]]

 [[23445   324]
  [  401   129]]

 [[23069   580]
  [  311   339]]

 [[23998   136]
  [  131    34]]

 [[22034  1373]
  [  528   364]]

 [[24101   133]
  [   50    15]]]",3,34017
2,3ec8b27,21/09/2019 10:18:04,Multinomial Naive Bayes,TF-IDF,0:00:27.829440,57926,0.25187303633287683,0.3102113578876897,0.25187303633287683,0.230031851861547,0.29160019259462305,0.2635187843724411,0.23011442593527406,,"OneVsRestClassifier(estimator=BalancedBaggingClassifier(base_estimator=MultinomialNB(alpha=1.0,
                                                                                     class_prior=None,
                                                                                     fit_prior=True),
                                                        bootstrap=True,
                                                        bootstrap_features=False,
                                                        max_features=1.0,
                                                        max_samples=34756,
                                                        n_estimators=3,
                                                        n_jobs=-1,
                                                        oob_score=False,
                                                        random_state=None,
                                                        ratio=None,
                                                        replacement=False,
                                                        sampling_strategy='auto',
                                                        verbose=0,
                                                        warm_start=False),
                    n_jobs=None)",,"[[[22959  1603]
  [  101   163]]

 [[23880   439]
  [  357   150]]

 [[23579   772]
  [  304   171]]

 [[24281   188]
  [  343    14]]

 [[22778   321]
  [ 1594   133]]

 [[23997   401]
  [  345    83]]

 [[23764   383]
  [  599    80]]

 [[24432    86]
  [  271    37]]

 [[23711   108]
  [  954    53]]

 [[23440   812]
  [  200   374]]

 [[24164   256]
  [  243   163]]

 [[23031   208]
  [ 1485   102]]

 [[20890  2831]
  [  703   402]]

 [[23530   885]
  [  262   149]]

 [[23566   345]
  [  837    78]]

 [[23813   463]
  [  374   176]]

 [[24431   135]
  [  177    83]]

 [[23347   510]
  [  725   244]]

 [[22958   246]
  [ 1373   249]]

 [[24078   134]
  [  561    53]]

 [[24142   235]
  [  279   170]]

 [[24549    31]
  [  220    26]]

 [[22596   430]
  [ 1658   142]]

 [[23474   720]
  [  347   285]]

 [[24131    27]
  [  646    22]]

 [[22365   805]
  [ 1082   574]]

 [[23562   195]
  [  755   314]]

 [[24648    23]
  [  144    11]]

 [[21652  2115]
  [  310   749]]

 [[23965   328]
  [  388   145]]

 [[23371   798]
  [  239   418]]

 [[24612    49]
  [  140    25]]

 [[22247  1672]
  [  495   412]]

 [[24742    19]
  [   62     3]]]",3,34756
3,3ec8b27,21/09/2019 10:18:04,Random Forest,TF-IDF,0:00:50.159306,57926,0.25489406267622655,0.33003550320899316,0.25489406267622655,0.2572367666039976,0.3002970413363724,0.27594904061160364,0.25212963501022473,,"OneVsRestClassifier(estimator=BalancedBaggingClassifier(base_estimator=RandomForestClassifier(bootstrap=True,
                                                                                              class_weight=None,
                                                                                              criterion='gini',
                                                                                              max_depth=10,
                                                                                              max_features='auto',
                                                                                              max_leaf_nodes=None,
                                                                                              min_impurity_decrease=0.0,
                                                                                              min_impurity_split=None,
                                                                                              min_samples_leaf=1,
                                                                                              min_samples_split=2,
                                                                                              min_weight_fraction_leaf=0.0,
                                                                                              n_estimators=100,
                                                                                              n_jobs=None,
                                                                                              oob_score=False,
                                                                                              random_state=0,
                                                                                              verbose=0,
                                                                                              warm_start=False),
                                                        bootstrap=True,
                                                        bootstrap_features=False,
                                                        max_features=1.0,
                                                        max_samples=34756,
                                                        n_estimators=3,
                                                        n_jobs=-1,
                                                        oob_score=False,
                                                        random_state=None,
                                                        ratio=None,
                                                        replacement=False,
                                                        sampling_strategy='auto',
                                                        verbose=0,
                                                        warm_start=False),
                    n_jobs=None)",,"[[[21370  3192]
  [   67   197]]

 [[23923   396]
  [  377   130]]

 [[23613   738]
  [  295   180]]

 [[23243  1226]
  [  276    81]]

 [[22768   331]
  [ 1588   139]]

 [[24096   302]
  [  347    81]]

 [[23716   431]
  [  600    79]]

 [[24366   152]
  [  253    55]]

 [[23680   139]
  [  922    85]]

 [[23948   304]
  [  238   336]]

 [[23978   442]
  [  208   198]]

 [[22617   622]
  [ 1319   268]]

 [[22752   969]
  [  883   222]]

 [[23672   743]
  [  313    98]]

 [[23070   841]
  [  767   148]]

 [[24199    77]
  [  418   132]]

 [[24399   167]
  [  180    80]]

 [[23537   320]
  [  726   243]]

 [[22854   350]
  [ 1322   300]]

 [[24149    63]
  [  542    72]]

 [[24286    91]
  [  301   148]]

 [[24476   104]
  [  188    58]]

 [[22584   442]
  [ 1601   199]]

 [[23490   704]
  [  328   304]]

 [[23922   236]
  [  631    37]]

 [[22557   613]
  [ 1087   569]]

 [[23434   323]
  [  708   361]]

 [[24530   141]
  [  138    17]]

 [[22344  1423]
  [  444   615]]

 [[23982   311]
  [  395   138]]

 [[23534   635]
  [  304   353]]

 [[24582    79]
  [  131    34]]

 [[22572  1347]
  [  549   358]]

 [[24517   244]
  [   52    13]]]",3,34756
0,3ec8b27,21/09/2019 10:18:04,Multinomial Naive Bayes,TF-IDF,0:00:24.540607,56695,0.25239721799250997,0.3189149175902377,0.25239721799250997,0.2323235823532206,0.2886202445275607,0.2609010686161048,0.23089012614819882,,"OneVsRestClassifier(estimator=BalancedBaggingClassifier(base_estimator=MultinomialNB(alpha=1.0,
                                                                                     class_prior=None,
                                                                                     fit_prior=True),
                                                        bootstrap=True,
                                                        bootstrap_features=False,
                                                        max_features=1.0,
                                                        max_samples=34017,
                                                        n_estimators=3,
                                                        n_jobs=-1,
                                                        oob_score=False,
                                                        random_state=None,
                                                        ratio=None,
                                                        replacement=False,
                                                        sampling_strategy='auto',
                                                        verbose=0,
                                                        warm_start=False),
                    n_jobs=None)",,"[[[22553  1485]
  [  109   152]]

 [[23566   229]
  [  382   122]]

 [[23273   554]
  [  322   150]]

 [[23803   142]
  [  339    15]]

 [[22365   273]
  [ 1516   145]]

 [[23705   175]
  [  364    55]]

 [[23244   388]
  [  597    70]]

 [[23920    74]
  [  274    31]]

 [[23208   102]
  [  956    33]]

 [[22930   804]
  [  209   356]]

 [[23641   255]
  [  228   175]]

 [[22606   160]
  [ 1428   105]]

 [[19306  3915]
  [  575   503]]

 [[23044   847]
  [  272   136]]

 [[23205   194]
  [  856    44]]

 [[23366   392]
  [  376   165]]

 [[23886   156]
  [  163    94]]

 [[22848   494]
  [  721   236]]

 [[22515   208]
  [ 1366   210]]

 [[23386   308]
  [  514    91]]

 [[23649   204]
  [  266   180]]

 [[24010    43]
  [  222    24]]

 [[22144   427]
  [ 1578   150]]

 [[22973   703]
  [  322   301]]

 [[23611    32]
  [  633    23]]

 [[22018   676]
  [ 1038   567]]

 [[23054   194]
  [  734   317]]

 [[24079    65]
  [  134    21]]

 [[21195  2072]
  [  312   720]]

 [[23490   279]
  [  390   140]]

 [[22929   720]
  [  256   394]]

 [[24015   119]
  [  143    22]]

 [[21942  1465]
  [  507   385]]

 [[24222    12]
  [   64     1]]]",3,34017
1,3ec8b27,21/09/2019 10:18:04,Random Forest,TF-IDF,0:00:54.451163,56695,0.25585415037655873,0.3274807758156868,0.25585415037655873,0.25521254559585604,0.29429588870031637,0.2766660687639753,0.24935027861665293,,"OneVsRestClassifier(estimator=BalancedBaggingClassifier(base_estimator=RandomForestClassifier(bootstrap=True,
                                                                                              class_weight=None,
                                                                                              criterion='gini',
                                                                                              max_depth=10,
                                                                                              max_features='auto',
                                                                                              max_leaf_nodes=None,
                                                                                              min_impurity_decrease=0.0,
                                                                                              min_impurity_split=None,
                                                                                              min_samples_leaf=1,
                                                                                              min_samples_split=2,
                                                                                              min_weight_fraction_leaf=0.0,
                                                                                              n_estimators=100,
                                                                                              n_jobs=None,
                                                                                              oob_score=False,
                                                                                              random_state=0,
                                                                                              verbose=0,
                                                                                              warm_start=False),
                                                        bootstrap=True,
                                                        bootstrap_features=False,
                                                        max_features=1.0,
                                                        max_samples=34017,
                                                        n_estimators=3,
                                                        n_jobs=-1,
                                                        oob_score=False,
                                                        random_state=None,
                                                        ratio=None,
                                                        replacement=False,
                                                        sampling_strategy='auto',
                                                        verbose=0,
                                                        warm_start=False),
                    n_jobs=None)",,"[[[21033  3005]
  [   80   181]]

 [[23316   479]
  [  354   150]]

 [[23144   683]
  [  288   184]]

 [[22748  1197]
  [  277    77]]

 [[22295   343]
  [ 1518   143]]

 [[23541   339]
  [  350    69]]

 [[23270   362]
  [  588    79]]

 [[23908    86]
  [  257    48]]

 [[23197   113]
  [  923    66]]

 [[23363   371]
  [  239   326]]

 [[23533   363]
  [  219   184]]

 [[22070   696]
  [ 1250   283]]

 [[22353   868]
  [  866   212]]

 [[23260   631]
  [  304   104]]

 [[22585   814]
  [  742   158]]

 [[23675    83]
  [  440   101]]

 [[23838   204]
  [  174    83]]

 [[23011   331]
  [  694   263]]

 [[22434   289]
  [ 1308   268]]

 [[23627    67]
  [  549    56]]

 [[23765    88]
  [  301   145]]

 [[23873   180]
  [  179    67]]

 [[22179   392]
  [ 1554   174]]

 [[22770   906]
  [  305   318]]

 [[23497   146]
  [  621    35]]

 [[22071   623]
  [ 1030   575]]

 [[22946   302]
  [  681   370]]

 [[23921   223]
  [  129    26]]

 [[21915  1352]
  [  441   591]]

 [[23445   324]
  [  401   129]]

 [[23069   580]
  [  311   339]]

 [[23998   136]
  [  131    34]]

 [[22034  1373]
  [  528   364]]

 [[24101   133]
  [   50    15]]]",3,34017
2,3ec8b27,21/09/2019 10:18:04,Multinomial Naive Bayes,TF-IDF,0:00:27.829440,57926,0.25187303633287683,0.3102113578876897,0.25187303633287683,0.230031851861547,0.29160019259462305,0.2635187843724411,0.23011442593527406,,"OneVsRestClassifier(estimator=BalancedBaggingClassifier(base_estimator=MultinomialNB(alpha=1.0,
                                                                                     class_prior=None,
                                                                                     fit_prior=True),
                                                        bootstrap=True,
                                                        bootstrap_features=False,
                                                        max_features=1.0,
                                                        max_samples=34756,
                                                        n_estimators=3,
                                                        n_jobs=-1,
                                                        oob_score=False,
                                                        random_state=None,
                                                        ratio=None,
                                                        replacement=False,
                                                        sampling_strategy='auto',
                                                        verbose=0,
                                                        warm_start=False),
                    n_jobs=None)",,"[[[22959  1603]
  [  101   163]]

 [[23880   439]
  [  357   150]]

 [[23579   772]
  [  304   171]]

 [[24281   188]
  [  343    14]]

 [[22778   321]
  [ 1594   133]]

 [[23997   401]
  [  345    83]]

 [[23764   383]
  [  599    80]]

 [[24432    86]
  [  271    37]]

 [[23711   108]
  [  954    53]]

 [[23440   812]
  [  200   374]]

 [[24164   256]
  [  243   163]]

 [[23031   208]
  [ 1485   102]]

 [[20890  2831]
  [  703   402]]

 [[23530   885]
  [  262   149]]

 [[23566   345]
  [  837    78]]

 [[23813   463]
  [  374   176]]

 [[24431   135]
  [  177    83]]

 [[23347   510]
  [  725   244]]

 [[22958   246]
  [ 1373   249]]

 [[24078   134]
  [  561    53]]

 [[24142   235]
  [  279   170]]

 [[24549    31]
  [  220    26]]

 [[22596   430]
  [ 1658   142]]

 [[23474   720]
  [  347   285]]

 [[24131    27]
  [  646    22]]

 [[22365   805]
  [ 1082   574]]

 [[23562   195]
  [  755   314]]

 [[24648    23]
  [  144    11]]

 [[21652  2115]
  [  310   749]]

 [[23965   328]
  [  388   145]]

 [[23371   798]
  [  239   418]]

 [[24612    49]
  [  140    25]]

 [[22247  1672]
  [  495   412]]

 [[24742    19]
  [   62     3]]]",3,34756
3,3ec8b27,21/09/2019 10:18:04,Random Forest,TF-IDF,0:00:50.159306,57926,0.25489406267622655,0.33003550320899316,0.25489406267622655,0.2572367666039976,0.3002970413363724,0.27594904061160364,0.25212963501022473,,"OneVsRestClassifier(estimator=BalancedBaggingClassifier(base_estimator=RandomForestClassifier(bootstrap=True,
                                                                                              class_weight=None,
                                                                                              criterion='gini',
                                                                                              max_depth=10,
                                                                                              max_features='auto',
                                                                                              max_leaf_nodes=None,
                                                                                              min_impurity_decrease=0.0,
                                                                                              min_impurity_split=None,
                                                                                              min_samples_leaf=1,
                                                                                              min_samples_split=2,
                                                                                              min_weight_fraction_leaf=0.0,
                                                                                              n_estimators=100,
                                                                                              n_jobs=None,
                                                                                              oob_score=False,
                                                                                              random_state=0,
                                                                                              verbose=0,
                                                                                              warm_start=False),
                                                        bootstrap=True,
                                                        bootstrap_features=False,
                                                        max_features=1.0,
                                                        max_samples=34756,
                                                        n_estimators=3,
                                                        n_jobs=-1,
                                                        oob_score=False,
                                                        random_state=None,
                                                        ratio=None,
                                                        replacement=False,
                                                        sampling_strategy='auto',
                                                        verbose=0,
                                                        warm_start=False),
                    n_jobs=None)",,"[[[21370  3192]
  [   67   197]]

 [[23923   396]
  [  377   130]]

 [[23613   738]
  [  295   180]]

 [[23243  1226]
  [  276    81]]

 [[22768   331]
  [ 1588   139]]

 [[24096   302]
  [  347    81]]

 [[23716   431]
  [  600    79]]

 [[24366   152]
  [  253    55]]

 [[23680   139]
  [  922    85]]

 [[23948   304]
  [  238   336]]

 [[23978   442]
  [  208   198]]

 [[22617   622]
  [ 1319   268]]

 [[22752   969]
  [  883   222]]

 [[23672   743]
  [  313    98]]

 [[23070   841]
  [  767   148]]

 [[24199    77]
  [  418   132]]

 [[24399   167]
  [  180    80]]

 [[23537   320]
  [  726   243]]

 [[22854   350]
  [ 1322   300]]

 [[24149    63]
  [  542    72]]

 [[24286    91]
  [  301   148]]

 [[24476   104]
  [  188    58]]

 [[22584   442]
  [ 1601   199]]

 [[23490   704]
  [  328   304]]

 [[23922   236]
  [  631    37]]

 [[22557   613]
  [ 1087   569]]

 [[23434   323]
  [  708   361]]

 [[24530   141]
  [  138    17]]

 [[22344  1423]
  [  444   615]]

 [[23982   311]
  [  395   138]]

 [[23534   635]
  [  304   353]]

 [[24582    79]
  [  131    34]]

 [[22572  1347]
  [  549   358]]

 [[24517   244]
  [   52    13]]]",3,34756
