Esperado;Observado
79.31361271;69.15
56.85225031;70.81
55.21316986;45.76
52.50719705;68.23
28.90145848;33.9
27.09548985;31.83
16.78120362;14.86
13.80701765;12.2
13.48218171;13.57
12.88615245;12.54
8.851034409;11.14
8.725868266;8.83
6.121220429;1.93
5.656317612;0.91
4.720551685;4.46
4.601345834;5.15
4.583464956;6.36
4.529822324;3.02
4.392735595;3.75
3.883130584;5.14
3.510612301;2.41
3.304982209;3.2
3.12021314;3.94
3.033788898;5.45
3.027828606;3.06
2.947364657;3.13
2.646369884;2.06
2.571866227;2.63
2.548025057;0.01
2.291732478;1.27
2.205308237;1.85
2.172526628;2.61
2.160606043;1.64
2.157625896;2.25
1.963916389;0.62
1.88345244;2.76
1.820869368;1.57
