Esperado;Observado
79.31361271;26.19286828;
56.85225031;31.72984645;
55.21316986;57.34539947;
52.50719705;20.45345489;
28.90145848;27.68863964;
27.09548985;20.44970609;
16.78120362;16.23605446;
13.80701765;8.659728887;
13.48218171;7.430122361;
12.88615245;10.79279631;
8.851034409;10.18549064;
8.725868266;7.025251919;
6.121220429;0.517334453;
5.656317612;0.547324856;
4.720551685;4.329864443;
4.601345834;1.218360125;
4.583464956;1.836912188;
4.529822324;1.56699856;
4.392735595;3.895003599;
3.883130584;2.605416267;
3.510612301;3.598848369;
3.304982209;0.2699136276;
3.12021314;0.1424544146;
3.033788898;0.4161168426;
3.027828606;4.693498081;
2.947364657;1.825665787;
2.646369884;2.286768234;
2.571866227;2.320507438;
2.548025057;0.0074976008;
2.291732478;0.6110544626;
2.205308237;2.699136276;
2.172526628;1.810670585;
2.160606043;1.866902591;
2.157625896;0.1799424184;
1.963916389;0.3336432342;
1.88345244;0.7797504798;
1.820869368;1.405800144;
