"cd_assunto_nivel_1","cd_assunto_nivel_2","cd_assunto_nivel_3","cd_assunto_nivel_4","cd_assunto_nivel_5"
"6191",,,,
"6191","6197",,,
"6191","6197","6201",,
"6191","6202",,,
"6191","6212",,,
"6191","6213",,,
"6191","6215",,,
"6191","6218",,,
"6191","9565",,,
"864",,,,
"864","10568",,,
"864","10568","10569",,
"864","10568","10570",,
"864","10568","10571",,
"864","10568","55225",,
"864","10568","55382",,
"864","10568","55383",,
"864","10568","55384",,
"864","10568","55385",,
"864","10568","55386",,
"864","10568","55387",,
"864","1654",,,
"864","1654","1806",,
"864","1654","1806","1932",
"864","1654","1806","2445",
"864","1654","1806","2445","55061"
"864","1654","1806","2523",
"864","1654","1806","2523","55062"
"864","1654","1806","55059",
"864","1654","1806","55060",
"864","1654","1806","55063",
"864","1654","1816",,
"864","1654","1816","1807",
"864","1654","1816","55066",
"864","1654","1816","55067",
"864","1654","1816","55068",
"864","1654","1816","55069",
"864","1654","1844",,
"864","1654","1844","5352",
"864","1654","1844","5354",
"864","1654","1957",,
"864","1654","2029",,
"864","1654","2029","2031",
"864","1654","2029","2033",
"864","1654","2029","2037",
"864","1654","2133",,
"864","1654","2233",,
"864","1654","2233","55064",
"864","1654","2409",,
"864","1654","2421",,
"864","1654","2537",,
"864","1654","2554",,
"864","1654","2554","55071",
"864","1654","2554","55072",
"864","1654","2554","55073",
"864","1654","2554","55074",
"864","1654","2670",,
"864","1654","5272",,
"864","1654","5272","1814",
"864","1654","5272","1822",
"864","1654","5272","2266",
"864","1654","5272","55057",
"864","1654","5272","55058",
"864","1654","5273",,
"864","1654","5273","9487",
"864","1654","5273","9487","55075"
"864","1654","5273","9487","55076"
"864","1654","5273","9487","55331"
"864","1654","5273","9487","55332"
"864","1654","5273","9487","55333"
"864","1654","5273","9487","55334"
"864","1654","5273","9487","55335"
"864","1654","55065",,
"864","1654","55070",,
"864","1654","7647",,
"864","1658",,,
"864","1658","10581",,
"864","1658","10581","55379",
"864","1658","10581","55380",
"864","1658","1661",,
"864","1658","1661","55370",
"864","1658","1663",,
"864","1658","1663","55358",
"864","1658","2086",,
"864","1658","2086","55097",
"864","1658","2086","55098",
"864","1658","2086","55099",
"864","1658","2086","55100",
"864","1658","2086","55101",
"864","1658","2086","55102",
"864","1658","2086","55102","55103"
"864","1658","2086","55365",
"864","1658","2086","55366",
"864","1658","2086","55367",
"864","1658","2086","55368",
"864","1658","2086","55369",
"864","1658","2116",,
"864","1658","2139",,
"864","1658","2140",,
"864","1658","2140","55112",
"864","1658","2140","55371",
"864","1658","2140","55372",
"864","1658","2140","55373",
"864","1658","2140","55374",
"864","1658","2426",,
"864","1658","2426","55376",
"864","1658","2426","55377",
"864","1658","2426","55378",
"864","1658","55095",,
"864","1658","55095","55359",
"864","1658","55095","55360",
"864","1658","55095","55361",
"864","1658","55095","55362",
"864","1658","55095","55363",
"864","1658","55095","55364",
"864","1658","55104",,
"864","1658","55105",,
"864","1658","55105","55106",
"864","1658","55105","55106","55107"
"864","1658","55108",,
"864","1658","55108","55109",
"864","1658","55108","55109","55110"
"864","1658","55108","55111",
"864","1695",,,
"864","1695","10564",,
"864","1695","1690",,
"864","1695","1691",,
"864","1695","1703",,
"864","1695","1705",,
"864","1695","1773",,
"864","1695","4435",,
"864","1695","4435","55007",
"864","1695","4437",,
"864","1695","4438",,
"864","1695","4452",,
"864","1695","4452","55089",
"864","1695","4452","55090",
"864","1695","55008",,
"864","1695","55009",,
"864","1695","55087",,
"864","1695","55088",,
"864","1695","55091",,
"864","1695","55091","55092",
"864","1695","55091","55093",
"864","1695","55091","55094",
"864","1695","55345",,
"864","1695","55345","55346",
"864","1695","55347",,
"864","1695","55348",,
"864","1695","55348","55349",
"864","1695","55348","55349","55350"
"864","1695","55348","55349","55351"
"864","1695","55348","55352",
"864","1695","55348","55353",
"864","1695","55354",,
"864","1695","55355",,
"864","1695","55355","55356",
"864","1695","55355","55357",
"864","1937",,,
"864","1937","2704",,
"864","1937","2704","55217",
"864","1937","2704","55217","55426"
"864","1937","2704","55425",
"864","1937","2704","55427",
"864","1937","2704","55428",
"864","1937","2704","55428","55429"
"864","1937","2704","55428","55430"
"864","1937","5356",,
"864","1937","55423",,
"864","1937","8805",,
"864","1937","8805","55424",
"864","1937","8806",,
"864","1937","8807",,
"864","2567",,,
"864","2567","1855",,
